CPU,Memory,Disk,DiskType,InnoDB,Warehouse,Connections,TpmC,price per month,cost performance ratio,Load Avg Utl,Run Avg Utl,System,Platform,Region,Zone,Provider,IdleL,IdleR
2,7.5,10,1,64,5,10,3135,50.24,0.016,55.9,47,B,GCP,Iowa,us-central1-a,Google,44.1,53
2,7.5,10,1,128,5,10,5267,50.24,0.0095,56.2,69.8,B,GCP,Iowa,us-central1-a,Google,43.8,30.2
2,7.5,10,1,256,5,10,8197,50.24,0.0061,57,94.1,B,GCP,Iowa,us-central1-a,Google,43,5.9
2,7.5,10,1,512,5,10,8621,50.24,0.0058,56.5,97.5,B,GCP,Iowa,us-central1-a,Google,43.5,2.5
2,7.5,10,1,1024,5,10,8755,50.24,0.0057,56.9,97.4,B,GCP,Iowa,us-central1-a,Google,43.1,2.6
4,15,10,1,16,5,10,1187,98.79,0.0832,27.3,13.2,C,GCP,Iowa,us-central1-a,Google,72.7,86.8
4,15,10,1,32,5,10,1829,98.79,0.054,27.9,17.8,C,GCP,Iowa,us-central1-a,Google,72.1,82.2
4,15,10,1,64,5,10,2996,98.79,0.033,28.4,23.6,C,GCP,Iowa,us-central1-a,Google,71.6,76.4
4,15,10,1,128,5,10,5414,98.79,0.0182,27.1,39.8,C,GCP,Iowa,us-central1-a,Google,72.9,60.2
4,15,10,1,256,5,10,9386,98.79,0.0105,26.9,59.3,C,GCP,Iowa,us-central1-a,Google,73.1,40.7
4,15,10,1,512,5,10,12267,98.79,0.0081,28,94.3,C,GCP,Iowa,us-central1-a,Google,72,5.7
4,15,10,1,1024,5,10,12147,98.79,0.0081,27.8,93.9,C,GCP,Iowa,us-central1-a,Google,72.2,6.1
8,30,10,1,16,5,10,1167,195.88,0.1678,15.2,8.5,D,GCP,Iowa,us-central1-a,Google,84.8,91.5
8,30,10,1,32,5,10,1801,195.88,0.1088,14.7,13.4,D,GCP,Iowa,us-central1-a,Google,85.3,86.6
8,30,10,1,64,5,10,2910,195.88,0.0673,14.9,19.3,D,GCP,Iowa,us-central1-a,Google,85.1,80.7
8,30,10,1,128,5,10,5407,195.88,0.0362,14,29.2,D,GCP,Iowa,us-central1-a,Google,86,70.8
8,30,10,1,256,5,10,9506,195.88,0.0206,15.2,43.6,D,GCP,Iowa,us-central1-a,Google,84.8,56.4
8,30,10,1,512,5,10,12559,195.88,0.0156,15,71.2,D,GCP,Iowa,us-central1-a,Google,85,28.8
8,30,10,1,1024,5,10,12338,195.88,0.0159,14.8,73.7,D,GCP,Iowa,us-central1-a,Google,85.2,26.3
1,3.75,500,1,16,1,10,2659,109.27,0.0411,92.3,71.5,A,GCP,Iowa,us-central1-a,Google,7.7,28.5
1,3.75,500,1,32,1,10,3742,109.27,0.0292,91.8,86.3,A,GCP,Iowa,us-central1-a,Google,8.2,13.7
